time,lat,lon
2013-08-08 09:45:00,-48.5999525,-126.0014012
2013-08-08 09:48:00,-48.5999635,-126.0013483
2013-08-08 09:51:00,-48.60000367,-126.0012625
2013-08-08 09:57:00,-48.59998917,-126.0013088
2013-08-08 10:00:00,-48.60001033,-126.0012008
2013-08-08 10:03:00,-48.6000255,-126.000991
2013-08-08 10:06:00,-48.60003983,-126.0009463
2013-08-08 10:09:00,-48.60004367,-126.0008932
2013-08-08 10:12:00,-48.60004617,-126.001034
2013-08-08 10:15:00,-48.60003317,-126.0009593
2013-08-08 10:21:00,-48.60004733,-126.0009347
2013-08-08 10:24:00,-48.600046,-126.0008897
2013-08-08 10:27:00,-48.60005183,-126.0008575
2013-08-08 10:30:00,-48.6000345,-126.000794
2013-08-08 10:33:00,-48.600022,-126.0006808
2013-08-08 10:36:00,-48.60004783,-126.0006135
2013-08-08 10:42:00,-48.60003767,-126.0005922
2013-08-08 10:45:00,-48.6000265,-126.0006518
2013-08-08 10:48:00,-48.6000165,-126.0007512
2013-08-08 10:51:00,-48.6000285,-126.000773
2013-08-08 10:54:00,-48.60003933,-126.000815
2013-08-08 10:57:00,-48.6000175,-126.0010228
2013-08-08 11:00:00,-48.60003683,-126.0012758
2013-08-08 11:06:00,-48.60001967,-126.0013948
2013-08-08 11:09:00,-48.60004567,-126.0015035
2013-08-08 11:12:00,-48.60004417,-126.0016747
2013-08-08 11:15:00,-48.6000605,-126.0017648
2013-08-08 11:18:00,-48.60006,-126.0017483
2013-08-08 11:24:00,-48.60007917,-126.0019877
2013-08-08 11:27:00,-48.60011783,-126.0021755
2013-08-08 11:30:00,-48.60013483,-126.0022465
2013-08-08 11:33:00,-48.600122,-126.0022572
2013-08-08 11:36:00,-48.60011017,-126.002223
2013-08-08 11:39:00,-48.60010933,-126.0022083
2013-08-08 11:42:00,-48.60011217,-126.0021875
2013-08-08 11:48:00,-48.60013267,-126.00225
2013-08-08 11:51:00,-48.6001285,-126.0022982
2013-08-08 11:54:00,-48.60015033,-126.0024015
2013-08-08 11:57:00,-48.600167,-126.0025107
2013-08-08 12:00:00,-48.60022733,-126.0026438
2013-08-08 12:03:00,-48.60025167,-126.0028278
2013-08-08 12:09:00,-48.60029683,-126.0029802
2013-08-08 12:12:00,-48.600376,-126.0031308
2013-08-08 12:15:00,-48.60047033,-126.0032672
2013-08-08 12:18:00,-48.600599,-126.0033698
2013-08-08 12:21:00,-48.6007595,-126.003372
2013-08-08 12:24:00,-48.60071,-126.0028245
2013-08-08 12:27:00,-48.60021733,-126.001191
2013-08-08 12:33:00,-48.59997167,-126.0002023
2013-08-08 12:36:00,-48.60004283,-126.0006528
2013-08-08 12:39:00,-48.59993217,-126.0006517
2013-08-08 12:42:00,-48.599941,-126.0006798
2013-08-08 12:45:00,-48.60001133,-126.0006268
2013-08-08 12:48:00,-48.60014533,-126.0005438
2013-08-08 12:51:00,-48.6002785,-126.0004498
2013-08-08 12:57:00,-48.60040033,-126.0003923
2013-08-08 13:00:00,-48.600469,-126.000358
2013-08-08 13:03:00,-48.60055817,-126.0003097
2013-08-08 13:06:00,-48.60070717,-126.0002282
2013-08-08 13:09:00,-48.60082617,-126.0001597
2013-08-08 13:12:00,-48.60089983,-126.0001178
2013-08-08 13:15:00,-48.600996,-126.000022
2013-08-08 13:21:00,-48.60116617,-125.99991
2013-08-08 13:24:00,-48.60131633,-125.9998345
2013-08-08 13:27:00,-48.60141117,-125.9997273
2013-08-08 13:30:00,-48.60149433,-125.9996335
2013-08-08 13:33:00,-48.60156267,-125.999564
2013-08-08 13:36:00,-48.6015955,-125.999529
2013-08-08 13:39:00,-48.60157817,-125.9995548
2013-08-08 13:42:00,-48.60161567,-125.9995015
2013-08-08 13:48:00,-48.601705,-125.9993577
2013-08-08 13:51:00,-48.60175317,-125.9992968
2013-08-08 13:54:00,-48.60180367,-125.9992005
2013-08-08 13:57:00,-48.60186783,-125.9990895
2013-08-08 14:00:00,-48.60186317,-125.999192
2013-08-08 14:03:00,-48.601632,-125.9993155
2013-08-08 14:06:00,-48.60145217,-125.9993652
2013-08-08 14:09:00,-48.6013255,-125.9994433
2013-08-08 14:15:00,-48.60094567,-125.9994372
2013-08-08 14:18:00,-48.60053383,-125.9994237
2013-08-08 14:21:00,-48.60037317,-125.9995297
2013-08-08 14:24:00,-48.60036233,-125.9995868
2013-08-08 14:27:00,-48.60033417,-125.999756
2013-08-08 14:30:00,-48.60031583,-125.9998557
2013-08-08 14:36:00,-48.60027183,-126.000003
2013-08-08 14:39:00,-48.60025767,-126.0000388
2013-08-08 14:42:00,-48.60023033,-126.000198
2013-08-08 14:45:00,-48.6001815,-126.0004178
2013-08-08 14:48:00,-48.60015133,-126.0004592
2013-08-08 14:51:00,-48.60014567,-126.000541
2013-08-08 14:57:00,-48.60011967,-126.000652
2013-08-08 15:00:00,-48.60008533,-126.0008537
2013-08-08 15:03:00,-48.60006683,-126.001123
2013-08-08 15:06:00,-48.600036,-126.0013013
2013-08-08 15:09:00,-48.59999983,-126.0014887
2013-08-08 15:12:00,-48.59997983,-126.001742
2013-08-08 15:15:00,-48.59995333,-126.0019848
2013-08-08 15:18:00,-48.59993517,-126.002179
2013-08-08 15:24:00,-48.60068583,-126.0027038
2013-08-08 15:27:00,-48.60490683,-126.0124077
2013-08-08 15:30:00,-48.6121525,-126.0261852
2013-08-08 15:33:00,-48.6197345,-126.0405942
2013-08-08 15:36:00,-48.63027467,-126.0464637
2013-08-08 15:42:00,-48.6324525,-126.0332953
2013-08-08 15:45:00,-48.62301533,-126.0249185
2013-08-08 15:48:00,-48.61353617,-126.0159852
2013-08-08 15:51:00,-48.60430133,-126.0075587
2013-08-08 15:54:00,-48.59829667,-126.0017437
2013-08-08 15:57:00,-48.599696,-125.9993482
2013-08-08 16:00:00,-48.60032033,-126.0000753
2013-08-08 16:06:00,-48.60024817,-126.0002323
2013-08-08 16:09:00,-48.600168,-126.0004518
2013-08-08 16:12:00,-48.600058,-126.000768
2013-08-08 16:15:00,-48.5999865,-126.001
2013-08-08 16:18:00,-48.59990217,-126.0013925
2013-08-08 16:21:00,-48.59987783,-126.0017147
2013-08-08 16:24:00,-48.599818,-126.0023223
2013-08-08 16:30:00,-48.60006167,-126.0026437
2013-08-08 16:33:00,-48.60026483,-126.0022165
2013-08-08 16:36:00,-48.600144,-125.999147
2013-08-08 16:39:00,-48.600365,-125.9989778
2013-08-08 16:42:00,-48.60051583,-125.9988312
2013-08-08 16:45:00,-48.6005495,-125.9987488
2013-08-08 16:51:00,-48.60055983,-125.9986642
2013-08-08 16:54:00,-48.60056883,-125.9985317
2013-08-08 16:57:00,-48.60056267,-125.9985558
2013-08-08 17:00:00,-48.60053867,-125.998693
2013-08-08 17:03:00,-48.6005005,-125.9988353
2013-08-08 17:06:00,-48.60052617,-125.9987707
2013-08-08 17:12:00,-48.60069183,-125.9981408
2013-08-08 17:15:00,-48.60075983,-125.9977052
2013-08-08 17:18:00,-48.600784,-125.9980238
2013-08-08 17:21:00,-48.60077,-125.9982017
2013-08-08 17:24:00,-48.60079267,-125.9981367
2013-08-08 17:27:00,-48.6008455,-125.9977887
2013-08-08 17:33:00,-48.60080433,-125.9980443
2013-08-08 17:36:00,-48.60074883,-125.9982788
2013-08-08 17:39:00,-48.60074483,-125.998305
2013-08-08 17:42:00,-48.60074683,-125.9982735
2013-08-08 17:45:00,-48.60074583,-125.9983105
2013-08-08 17:48:00,-48.60069217,-125.9985347
2013-08-08 17:51:00,-48.60059817,-125.9988072
2013-08-08 17:57:00,-48.6005655,-125.9989357
2013-08-08 18:30:00,-48.60087533,-125.9985152
2013-08-08 18:33:00,-48.6008935,-125.9984893
2013-08-08 18:39:00,-48.60042317,-125.9999162
2013-08-08 18:42:00,-48.6022625,-126.0027645
2013-08-08 18:45:00,-48.603488,-126.004364
2013-08-08 18:48:00,-48.60427133,-126.0047612
2013-08-08 18:51:00,-48.60482317,-126.0047537
2013-08-08 18:54:00,-48.60539517,-126.0058448
2013-08-08 19:00:00,-48.60577233,-126.0064528
2013-08-08 19:03:00,-48.60567733,-126.0063922
2013-08-08 19:06:00,-48.60570717,-126.0061898
2013-08-08 19:09:00,-48.6057005,-126.0064908
2013-08-08 19:12:00,-48.60570767,-126.006886
2013-08-08 19:15:00,-48.60572283,-126.0071328
2013-08-08 19:18:00,-48.60570683,-126.0070757
2013-08-08 19:24:00,-48.605826,-126.0074632
2013-08-08 19:27:00,-48.60612117,-126.0073183
2013-08-08 19:30:00,-48.60807183,-126.0062642
2013-08-08 19:33:00,-48.61117483,-126.0037395
2013-08-08 19:36:00,-48.61102183,-126.0018585
2013-08-08 19:39:00,-48.6107725,-126.001992
2013-08-08 19:45:00,-48.6107605,-126.0020545
2013-08-08 19:48:00,-48.610774,-126.0021432
2013-08-08 19:51:00,-48.61075317,-126.0021353
2013-08-08 19:54:00,-48.61080083,-126.0019977
2013-08-08 19:57:00,-48.61083583,-126.0017275
2013-08-08 20:00:00,-48.61089283,-126.0015363
2013-08-08 20:03:00,-48.61089233,-126.0014628
2013-08-08 20:06:00,-48.61086367,-126.0016003
2013-08-08 20:12:00,-48.61089067,-126.0016442
2013-08-08 20:15:00,-48.610914,-126.0015347
2013-08-08 20:18:00,-48.61094267,-126.0013277
2013-08-08 20:21:00,-48.61095933,-126.001275
2013-08-08 20:24:00,-48.61096833,-126.0010502
2013-08-08 20:27:00,-48.6109705,-126.001063
2013-08-08 20:30:00,-48.61096333,-126.0011397
2013-08-08 20:33:00,-48.61096717,-126.001181
2013-08-08 20:39:00,-48.61096867,-126.0012677
2013-08-08 20:42:00,-48.61096933,-126.0011842
2013-08-08 20:45:00,-48.610969,-126.0012497
2013-08-08 20:48:00,-48.61098233,-126.0013747
2013-08-08 20:51:00,-48.6109845,-126.001338
2013-08-08 20:54:00,-48.61097217,-126.0010535
2013-08-08 20:57:00,-48.6109105,-125.9999015
2013-08-08 21:03:00,-48.61077867,-125.9992475
2013-08-08 21:06:00,-48.61101817,-125.9993167
2013-08-08 21:09:00,-48.61106417,-125.9994118
2013-08-08 21:12:00,-48.61111467,-125.9994503
2013-08-08 21:15:00,-48.611154,-125.9995267
2013-08-08 21:18:00,-48.611129,-125.999402
2013-08-08 21:21:00,-48.611022,-125.9991233
