time,lat,lon,depth,NO3
2017-06-03,24.0,-158.0,2.64566898346,5.52461926873e-07
2017-06-03,24.0,-158.0,3.81949496269,5.52461926873e-07
2017-06-03,24.0,-158.0,5.07822418213,5.52461926873e-07
2017-06-03,24.0,-158.0,6.44061422348,5.52461926873e-07
2017-06-03,24.0,-158.0,7.92956018448,5.53736015263e-07
2017-06-03,24.0,-158.0,9.5729970932,5.55021983928e-07
2017-06-03,24.0,-158.0,11.404999733,5.58879833079e-07
2017-06-03,24.0,-158.0,13.4671401978,5.64082029086e-07
2017-06-03,24.0,-158.0,15.8100700378,5.71961777496e-07
2017-06-03,24.0,-158.0,18.4955596924,5.81354072438e-07
2017-06-03,24.0,-158.0,21.5988197327,5.96463621605e-07
2017-06-03,24.0,-158.0,25.2114105225,6.17871137365e-07
2017-06-03,24.0,-158.0,29.4447307587,6.57927330394e-07
2017-06-03,24.0,-158.0,34.4341506958,7.36644835797e-07
2017-06-03,24.0,-158.0,40.3440513611,8.9956120064e-07
2017-06-03,24.0,-158.0,47.3736915588,1.08876884042e-06
2017-06-03,24.0,-158.0,55.764289856,1.2941446812e-06
2017-06-03,24.0,-158.0,65.8072662354,1.81053019332e-06
2017-06-03,24.0,-158.0,77.8538513184,4.10307075072e-06
2017-06-03,24.0,-158.0,92.3260726929,0.000116066461487
2017-06-03,24.0,-158.0,109.729301453,0.00874808337539
2017-06-03,24.0,-158.0,130.666000366,0.570229887962
2017-06-03,24.0,-158.0,155.850692749,2.08534455299
2017-06-03,24.0,-158.0,186.125595093,3.95678925514
2017-06-03,24.0,-158.0,222.475204468,6.24587154388
2017-06-03,24.0,-158.0,266.040313721,9.34736824036
2017-06-03,24.0,-158.0,318.127410889,13.4196872711
2017-06-03,24.0,-158.0,380.213012695,19.0010852814
2017-06-03,24.0,-158.0,453.937713623,25.7500705719
2017-06-03,24.0,-158.0,541.088928223,32.4928817749
2017-06-03,24.0,-158.0,643.566772461,37.7372055054
2017-06-03,24.0,-158.0,763.333129883,40.9035072327
2017-06-03,24.0,-158.0,902.339294434,42.243560791
2017-06-03,24.0,-158.0,1062.43994141,42.4385299683
2017-06-03,24.0,-158.0,1245.29101562,42.3409767151
2017-06-03,24.0,-158.0,1452.25097656,42.0503540039
2017-06-03,24.0,-158.0,1684.28405762,41.5681343079
2017-06-03,24.0,-158.0,1941.89294434,40.9035072327
2017-06-03,24.0,-158.0,2225.07788086,40.2495079041
2017-06-03,24.0,-158.0,2533.3359375,39.5140190125
2017-06-03,24.0,-158.0,2865.70288086,38.7036018372
2017-06-03,24.0,-158.0,3220.82006836,37.9105949402
2017-06-03,24.0,-158.0,3597.03198242,37.3052215576
2017-06-03,24.0,-158.0,3992.48388672,36.9624595642
2017-06-03,24.0,-158.0,4405.22412109,
2017-06-03,24.0,-158.0,4833.29101562,
