time,lat,lon,depth,PP
2017-06-03,24.0,-158.0,92.3260726929,0.000300539046293
2017-06-03,24.0,-158.0,109.729301453,0.00156717468053
2017-06-03,24.0,-158.0,130.666000366,0.00263697048649
2017-06-03,24.0,-158.0,155.850692749,0.000835418235511
2017-06-03,24.0,-158.0,186.125595093,0.000146351274452
2017-06-03,24.0,-158.0,222.475204468,2.2158066713e-05
2017-06-03,24.0,-158.0,266.040313721,2.47242383011e-06
2017-06-03,24.0,-158.0,318.127410889,2.58806409192e-07
2017-06-03,24.0,-158.0,380.213012695,2.30528429679e-10
2017-06-03,24.0,-158.0,453.937713623,2.30528429679e-10
2017-06-03,24.0,-158.0,541.088928223,2.30528429679e-10
2017-06-03,24.0,-158.0,643.566772461,2.30528429679e-10
2017-06-03,24.0,-158.0,763.333129883,2.30528429679e-10
2017-06-03,24.0,-158.0,902.339294434,2.30528429679e-10
2017-06-03,24.0,-158.0,1062.43994141,2.30528429679e-10
2017-06-03,24.0,-158.0,1245.29101562,2.30528429679e-10
2017-06-03,24.0,-158.0,1452.25097656,2.30528429679e-10
2017-06-03,24.0,-158.0,1684.28405762,2.30528429679e-10
2017-06-03,24.0,-158.0,1941.89294434,2.30528429679e-10
2017-06-03,24.0,-158.0,2225.07788086,2.30528429679e-10
2017-06-03,24.0,-158.0,2533.3359375,2.30528429679e-10
2017-06-03,24.0,-158.0,2865.70288086,2.30528429679e-10
2017-06-03,24.0,-158.0,3220.82006836,2.30528429679e-10
2017-06-03,24.0,-158.0,3597.03198242,2.30528429679e-10
2017-06-03,24.0,-158.0,3992.48388672,2.30528429679e-10
2017-06-03,24.0,-158.0,4405.22412109,
2017-06-03,24.0,-158.0,4833.29101562,
2017-06-03,24.0,-158.0,5274.78417969,
2017-06-03,24.0,-158.0,5727.91699219,
2017-06-03,24.0,-157.5,0.494024991989,0.000604463159107
2017-06-03,24.0,-157.5,1.54137504101,0.000600326864514
2017-06-03,24.0,-157.5,2.64566898346,0.000596193945967
2017-06-03,24.0,-157.5,3.81949496269,0.00059072842123
2017-06-03,24.0,-157.5,5.07822418213,0.000583965040278
2017-06-03,24.0,-157.5,6.44061422348,0.000575954210944
2017-06-03,24.0,-157.5,7.92956018448,0.000566757284105
2017-06-03,24.0,-157.5,9.5729970932,0.000557695515454
2017-06-03,24.0,-157.5,11.404999733,0.00054626876954
2017-06-03,24.0,-157.5,13.4671401978,0.000533845159225
2017-06-03,24.0,-157.5,15.8100700378,0.000520504778251
2017-06-03,24.0,-157.5,18.4955596924,0.000504013558384
2017-06-03,24.0,-157.5,21.5988197327,0.000485801574541
2017-06-03,24.0,-157.5,25.2114105225,0.000466086843517
2017-06-03,24.0,-157.5,29.4447307587,0.000447145022918
2017-06-03,24.0,-157.5,34.4341506958,0.000427018094342
2017-06-03,24.0,-157.5,40.3440513611,0.000405949162086
2017-06-03,24.0,-157.5,47.3736915588,0.000384154176572
2017-06-03,24.0,-157.5,55.764289856,0.000357746728696
2017-06-03,24.0,-157.5,65.8072662354,0.000319086189847
2017-06-03,24.0,-157.5,77.8538513184,0.000288857350824
2017-06-03,24.0,-157.5,92.3260726929,0.000306785776047
2017-06-03,24.0,-157.5,109.729301453,0.00143395189662
2017-06-03,24.0,-157.5,130.666000366,0.00259285303764
2017-06-03,24.0,-157.5,155.850692749,0.000834405072965
2017-06-03,24.0,-157.5,186.125595093,0.000163145698025
2017-06-03,24.0,-157.5,222.475204468,2.53684083873e-05
2017-06-03,24.0,-157.5,266.040313721,2.55254190051e-06
2017-06-03,24.0,-157.5,318.127410889,2.62272862983e-07
2017-06-03,24.0,-157.5,380.213012695,2.30528429679e-10
2017-06-03,24.0,-157.5,453.937713623,2.30528429679e-10
2017-06-03,24.0,-157.5,541.088928223,2.30528429679e-10
2017-06-03,24.0,-157.5,643.566772461,2.30528429679e-10
2017-06-03,24.0,-157.5,763.333129883,2.30528429679e-10
2017-06-03,24.0,-157.5,902.339294434,2.30528429679e-10
2017-06-03,24.0,-157.5,1062.43994141,2.30528429679e-10
2017-06-03,24.0,-157.5,1245.29101562,2.30528429679e-10
2017-06-03,24.0,-157.5,1452.25097656,2.30528429679e-10
2017-06-03,24.0,-157.5,1684.28405762,2.30528429679e-10
2017-06-03,24.0,-157.5,1941.89294434,2.30528429679e-10
2017-06-03,24.0,-157.5,2225.07788086,2.30528429679e-10
2017-06-03,24.0,-157.5,2533.3359375,2.30528429679e-10
2017-06-03,24.0,-157.5,2865.70288086,2.30528429679e-10
2017-06-03,24.0,-157.5,3220.82006836,2.30528429679e-10
2017-06-03,24.0,-157.5,3597.03198242,2.30528429679e-10
2017-06-03,24.0,-157.5,3992.48388672,2.30528429679e-10
2017-06-03,24.0,-157.5,4405.22412109,
2017-06-03,24.0,-157.5,4833.29101562,
2017-06-03,24.0,-157.5,5274.78417969,
2017-06-03,24.0,-157.5,5727.91699219,
2017-06-03,24.5,-158.0,0.494024991989,0.000616437522694
2017-06-03,24.5,-158.0,1.54137504101,0.000613604031969
2017-06-03,24.5,-158.0,2.64566898346,0.000608055503108
2017-06-03,24.5,-158.0,3.81949496269,0.00060248124646
2017-06-03,24.5,-158.0,5.07822418213,0.000595509482082
2017-06-03,24.5,-158.0,6.44061422348,0.000587264890783
2017-06-03,24.5,-158.0,7.92956018448,0.000577874539886
2017-06-03,24.5,-158.0,9.5729970932,0.000568480987567
2017-06-03,24.5,-158.0,11.404999733,0.000556830549613
2017-06-03,24.5,-158.0,13.4671401978,0.000545264687389
2017-06-03,24.5,-158.0,15.8100700378,0.000531635829248
2017-06-03,24.5,-158.0,18.4955596924,0.000518070533872
2017-06-03,24.5,-158.0,21.5988197327,0.000500306545291
2017-06-03,24.5,-158.0,25.2114105225,0.000478731730254
2017-06-03,24.5,-158.0,29.4447307587,0.000454943714431
2017-06-03,24.5,-158.0,34.4341506958,0.000429395819083
2017-06-03,24.5,-158.0,40.3440513611,0.00040230245213
2017-06-03,24.5,-158.0,47.3736915588,0.000369433197193
2017-06-03,24.5,-158.0,55.764289856,0.000332541356329
2017-06-03,24.5,-158.0,65.8072662354,0.000298737548292
2017-06-03,24.5,-158.0,77.8538513184,0.000280043284874
2017-06-03,24.5,-158.0,92.3260726929,0.00033969146898
2017-06-03,24.5,-158.0,109.729301453,0.00283632287756
