time,lat,lon,depth,CHL
2017-06-03,23.5,-157.5,6.44061422348,0.0355466492474
2017-06-03,23.5,-157.5,7.92956018448,0.0355466492474
2017-06-03,23.5,-157.5,9.5729970932,0.0356233716011
2017-06-03,23.5,-157.5,11.404999733,0.0356278382242
2017-06-03,23.5,-157.5,13.4671401978,0.0356937423348
2017-06-03,23.5,-157.5,15.8100700378,0.0357054844499
2017-06-03,23.5,-157.5,18.4955596924,0.0357825607061
2017-06-03,23.5,-157.5,21.5988197327,0.03586428985
2017-06-03,23.5,-157.5,25.2114105225,0.0360134802759
2017-06-03,23.5,-157.5,29.4447307587,0.0362682715058
2017-06-03,23.5,-157.5,34.4341506958,0.0367735177279
2017-06-03,23.5,-157.5,40.3440513611,0.0377859435976
2017-06-03,23.5,-157.5,47.3736915588,0.0398067347705
2017-06-03,23.5,-157.5,55.764289856,0.0437378585339
2017-06-03,23.5,-157.5,65.8072662354,0.0470961593091
2017-06-03,23.5,-157.5,77.8538513184,0.0514628179371
2017-06-03,23.5,-157.5,92.3260726929,0.0612439140677
2017-06-03,23.5,-157.5,109.729301453,0.105799525976
2017-06-03,23.5,-157.5,130.666000366,0.260988265276
2017-06-03,23.5,-157.5,155.850692749,0.247414186597
2017-06-03,23.5,-157.5,186.125595093,0.168273866177
2017-06-03,23.5,-157.5,222.475204468,0.11745415628
2017-06-03,23.5,-157.5,266.040313721,0.0709496885538
2017-06-03,23.5,-157.5,318.127410889,0.0327931344509
2017-06-03,23.5,-157.5,380.213012695,0.0128963366151
2017-06-03,23.5,-157.5,453.937713623,0.00622177310288
2017-06-03,23.5,-157.5,541.088928223,0.00481074349955
2017-06-03,23.5,-157.5,643.566772461,0.00443546101451
2017-06-03,23.5,-157.5,763.333129883,0.00436044484377
2017-06-03,23.5,-157.5,902.339294434,0.00435542268679
2017-06-03,23.5,-157.5,1062.43994141,0.00435542268679
2017-06-03,23.5,-157.5,1245.29101562,0.00435542268679
2017-06-03,23.5,-157.5,1452.25097656,0.00435542268679
2017-06-03,23.5,-157.5,1684.28405762,0.00435542268679
2017-06-03,23.5,-157.5,1941.89294434,0.00435542268679
2017-06-03,23.5,-157.5,2225.07788086,0.00435542268679
2017-06-03,23.5,-157.5,2533.3359375,0.00435542268679
2017-06-03,23.5,-157.5,2865.70288086,0.00435542268679
2017-06-03,23.5,-157.5,3220.82006836,0.00435542268679
2017-06-03,23.5,-157.5,3597.03198242,0.00435542268679
2017-06-03,23.5,-157.5,3992.48388672,0.00435542268679
2017-06-03,23.5,-157.5,4405.22412109,
2017-06-03,23.5,-157.5,4833.29101562,
2017-06-03,23.5,-157.5,5274.78417969,
2017-06-03,23.5,-157.5,5727.91699219,
2017-06-03,24.0,-158.0,0.494024991989,0.0351700261235
2017-06-03,24.0,-158.0,1.54137504101,0.0351700261235
2017-06-03,24.0,-158.0,2.64566898346,0.0351700261235
2017-06-03,24.0,-158.0,3.81949496269,0.0351700261235
2017-06-03,24.0,-158.0,5.07822418213,0.0351700261235
2017-06-03,24.0,-158.0,6.44061422348,0.0351707078516
2017-06-03,24.0,-158.0,7.92956018448,0.0351707078516
2017-06-03,24.0,-158.0,9.5729970932,0.035176102072
2017-06-03,24.0,-158.0,11.404999733,0.0352510511875
2017-06-03,24.0,-158.0,13.4671401978,0.0352517329156
2017-06-03,24.0,-158.0,15.8100700378,0.0353268533945
2017-06-03,24.0,-158.0,18.4955596924,0.0354036018252
2017-06-03,24.0,-158.0,21.5988197327,0.0354804955423
2017-06-03,24.0,-158.0,25.2114105225,0.0356395319104
2017-06-03,24.0,-158.0,29.4447307587,0.0359543450177
2017-06-03,24.0,-158.0,34.4341506958,0.0364386886358
2017-06-03,24.0,-158.0,40.3440513611,0.0371793881059
