adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.9313,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8098,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8256,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8399,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8487,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8578,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.867,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8756,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8869,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8903,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8763,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8576,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8529,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8638,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8756,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.882,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8849,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.888,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9002,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9201,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9428,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.967,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9858,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9924,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9839,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9631,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9399,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9219,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9099,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8993,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7984,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8093,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8174,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8154,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.814,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.82,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8298,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8416,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8513,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8555,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8552,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8568,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8673,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8799,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8887,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8974,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9085,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.926,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9495,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9729,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9897,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9961,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9943,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9832,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9608,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9344,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9122,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8952,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8771,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7969,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8061,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8075,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7955,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7879,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7947,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8066,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.819,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8332,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8478,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8604,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8709,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8823,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8933,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9046,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9221,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9441,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9675,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9883,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9972,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9918,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9831,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9823,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9801,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9603,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9285,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9009,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8817,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8605,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8032,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8085,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8037,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.7898,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
