time,lat,lon,depth,Fe
2017-06-03,24.5,-158.0,2865.70288086,0.000535796803888
2017-06-03,24.5,-158.0,3220.82006836,0.000523665396031
2017-06-03,24.5,-158.0,3597.03198242,0.000510632351507
2017-06-03,24.5,-158.0,3992.48388672,0.000504724157508
2017-06-03,24.5,-158.0,4405.22412109,0.000503562914673
2017-06-03,24.5,-158.0,4833.29101562,
2017-06-03,24.5,-158.0,5274.78417969,
2017-06-03,24.5,-158.0,5727.91699219,
2017-06-03,24.5,-157.5,0.494024991989,5.67615315958e-05
2017-06-03,24.5,-157.5,1.54137504101,5.67615315958e-05
2017-06-03,24.5,-157.5,2.64566898346,5.67615315958e-05
2017-06-03,24.5,-157.5,3.81949496269,5.67544229853e-05
2017-06-03,24.5,-157.5,5.07822418213,5.67544229853e-05
2017-06-03,24.5,-157.5,6.44061422348,5.67544229853e-05
2017-06-03,24.5,-157.5,7.92956018448,5.67473398405e-05
2017-06-03,24.5,-157.5,9.5729970932,5.66239614272e-05
2017-06-03,24.5,-157.5,11.404999733,5.66168928344e-05
2017-06-03,24.5,-157.5,13.4671401978,5.66098315176e-05
2017-06-03,24.5,-157.5,15.8100700378,5.66027920286e-05
2017-06-03,24.5,-157.5,18.4955596924,5.64656693314e-05
2017-06-03,24.5,-157.5,21.5988197327,5.64447509532e-05
2017-06-03,24.5,-157.5,25.2114105225,5.62941422686e-05
2017-06-03,24.5,-157.5,29.4447307587,5.60014304938e-05
2017-06-03,24.5,-157.5,34.4341506958,5.54282305529e-05
2017-06-03,24.5,-157.5,40.3440513611,5.39973480045e-05
2017-06-03,24.5,-157.5,47.3736915588,5.03009541717e-05
2017-06-03,24.5,-157.5,55.764289856,4.3609074055e-05
2017-06-03,24.5,-157.5,65.8072662354,3.50971495209e-05
2017-06-03,24.5,-157.5,77.8538513184,2.60087654169e-05
2017-06-03,24.5,-157.5,92.3260726929,1.48706794789e-05
2017-06-03,24.5,-157.5,109.729301453,3.07100890495e-06
2017-06-03,24.5,-157.5,130.666000366,4.4182579586e-06
2017-06-03,24.5,-157.5,155.850692749,1.29573700178e-05
2017-06-03,24.5,-157.5,186.125595093,2.02195860766e-05
2017-06-03,24.5,-157.5,222.475204468,3.8073885662e-05
2017-06-03,24.5,-157.5,266.040313721,8.5810868768e-05
2017-06-03,24.5,-157.5,318.127410889,0.000170188199263
2017-06-03,24.5,-157.5,380.213012695,0.000291298463708
2017-06-03,24.5,-157.5,453.937713623,0.000429035862908
2017-06-03,24.5,-157.5,541.088928223,0.000548552838154
2017-06-03,24.5,-157.5,643.566772461,0.000616828387138
2017-06-03,24.5,-157.5,763.333129883,0.000632650800981
2017-06-03,24.5,-157.5,902.339294434,0.000629663758446
2017-06-03,24.5,-157.5,1062.43994141,0.000622379011475
2017-06-03,24.5,-157.5,1245.29101562,0.000610942428466
2017-06-03,24.5,-157.5,1452.25097656,0.000597036618274
2017-06-03,24.5,-157.5,1684.28405762,0.000583373242989
2017-06-03,24.5,-157.5,1941.89294434,0.000570093747228
2017-06-03,24.5,-157.5,2225.07788086,0.000557047140319
2017-06-03,24.5,-157.5,2533.3359375,0.000544366950635
2017-06-03,24.5,-157.5,2865.70288086,0.000531975354534
2017-06-03,24.5,-157.5,3220.82006836,0.00051873549819
2017-06-03,24.5,-157.5,3597.03198242,0.000509268138558
2017-06-03,24.5,-157.5,3992.48388672,0.000505762000103
2017-06-03,24.5,-157.5,4405.22412109,
2017-06-03,24.5,-157.5,4833.29101562,
2017-06-03,24.5,-157.5,5274.78417969,
2017-06-03,24.5,-157.5,5727.91699219,
2017-06-03,25.0,-158.0,0.494024991989,5.25536997884e-05
2017-06-03,25.0,-158.0,1.54137504101,5.25218238181e-05
2017-06-03,25.0,-158.0,2.64566898346,5.25218238181e-05
2017-06-03,25.0,-158.0,3.81949496269,5.24328934262e-05
2017-06-03,25.0,-158.0,5.07822418213,5.24328934262e-05
2017-06-03,25.0,-158.0,6.44061422348,5.24010647496e-05
2017-06-03,25.0,-158.0,7.92956018448,5.23122544109e-05
2017-06-03,25.0,-158.0,9.5729970932,5.22236477991e-05
2017-06-03,25.0,-158.0,11.404999733,5.20154571859e-05
2017-06-03,25.0,-158.0,13.4671401978,5.18080196343e-05
2017-06-03,25.0,-158.0,15.8100700378,5.15143474331e-05
2017-06-03,25.0,-158.0,18.4955596924,5.09012897965e-05
2017-06-03,25.0,-158.0,21.5988197327,5.02113762195e-05
2017-06-03,25.0,-158.0,25.2114105225,4.9417707487e-05
2017-06-03,25.0,-158.0,29.4447307587,4.86680546601e-05
2017-06-03,25.0,-158.0,34.4341506958,4.7930963774e-05
2017-06-03,25.0,-158.0,40.3440513611,4.70076483907e-05
2017-06-03,25.0,-158.0,47.3736915588,4.49954313808e-05
2017-06-03,25.0,-158.0,55.764289856,3.82640610042e-05
2017-06-03,25.0,-158.0,65.8072662354,3.01469844999e-05
2017-06-03,25.0,-158.0,77.8538513184,2.21852951654e-05
2017-06-03,25.0,-158.0,92.3260726929,1.26054173961e-05
2017-06-03,25.0,-158.0,109.729301453,3.45236071553e-06
2017-06-03,25.0,-158.0,130.666000366,3.65881101061e-06
2017-06-03,25.0,-158.0,155.850692749,1.18643329188e-05
2017-06-03,25.0,-158.0,186.125595093,2.05457563425e-05
2017-06-03,25.0,-158.0,222.475204468,4.360202729e-05
2017-06-03,25.0,-158.0,266.040313721,0.000101345132862
2017-06-03,25.0,-158.0,318.127410889,0.000193569052499
2017-06-03,25.0,-158.0,380.213012695,0.000309346505674
2017-06-03,25.0,-158.0,453.937713623,0.000431243563071
2017-06-03,25.0,-158.0,541.088928223,0.000540754001122
2017-06-03,25.0,-158.0,643.566772461,0.000613369978964
2017-06-03,25.0,-158.0,763.333129883,0.000636389479041
2017-06-03,25.0,-158.0,902.339294434,0.000638263940345
2017-06-03,25.0,-158.0,1062.43994141,0.000629103684332
2017-06-03,25.0,-158.0,1245.29101562,0.000613762123976
2017-06-03,25.0,-158.0,1452.25097656,0.000599407707341
2017-06-03,25.0,-158.0,1684.28405762,0.000586137699429
2017-06-03,25.0,-158.0,1941.89294434,0.000572796503548
2017-06-03,25.0,-158.0,2225.07788086,0.000560116604902
2017-06-03,25.0,-158.0,2533.3359375,0.000547718489543
2017-06-03,25.0,-158.0,2865.70288086,0.000537721381988
2017-06-03,25.0,-158.0,3220.82006836,0.000527031661477
