Fe,start_time,end_time,lat1,lat2,lon1,lon2,depth,
4.82705354443e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.55674523639e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.23753715242e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.15901257232e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.92906905897e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.5636629693e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.54671270645e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.10840901471e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.78883747646e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.73017587158e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.06331264458e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.57882742921e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.84166196454e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.8406474232e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.25903181167e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.29220654041e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.17498414815e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.11083381853e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.38644381877e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.14703798824e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.10400542326e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.14793417399e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.59746921074e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.06794427161e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.93323082587e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.36811811192e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.09672853089e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.96326309378e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.87663681572e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.57243048307e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.04038344944e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.02177245935e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.06471306935e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.97691879293e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.30618970818e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.63532510871e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
