time,lat,lon,synecho,synecho_std,sst,sst_std,margin
2016-04-21 21:00:00,25.5652909,-157.9999317,8.18240494565,2.04502711238,22.0712434033,0.498508702406,0.5
2016-04-21 22:00:00,25.71478915,-158.0001505,6.1843440904,0.537490357928,21.7399934107,0.437421411626,0.5
2016-04-21 23:00:00,25.86234015,-158.00023215,6.44297270775,0.707319993772,21.7399934107,0.437421411626,0.5
2016-04-22 00:00:00,26.01506525,-158.0001151,8.269751537,0.495892346036,21.6837434118,0.263198469556,0.5
2016-04-22 01:00:00,26.16726695,-157.99963825,7.1129923134,0.739372701121,21.6468684127,0.219992004921,0.5
2016-04-22 02:00:00,26.3066097059,-157.999145765,6.95213876235,0.352861656409,21.6468684127,0.219992004921,0.5
2016-04-22 03:00:00,26.4670921,-158.0003372,6.46098284365,0.700054681621,21.6874934117,0.252400965034,0.5
2016-04-22 04:00:00,26.61147585,-157.99965435,6.64956414155,0.936058445286,21.6874934117,0.252400965034,0.5
2016-04-22 05:00:00,26.7591262,-157.9997896,5.17213773405,0.423945761105,21.7043684113,0.247284465082,0.5
2016-04-22 06:00:00,26.91392335,-157.9999429,11.7722568157,4.57817135239,21.6243684131,0.294935765071,0.5
2016-04-22 07:00:00,27.0687590526,-157.999797737,17.2486832542,0.786740016852,21.6243684131,0.294935765071,0.5
2016-04-22 08:00:00,27.2145257,-157.9998983,18.294580918,1.26105230767,21.4631184166,0.380964536241,0.5
2016-04-22 09:00:00,27.3568785,-157.9998645,13.4687557244,2.90491386195,21.4631184166,0.380964536241,0.5
2016-04-22 10:00:00,27.49926715,-158.00027285,17.8381962765,1.69611864313,21.2743684208,0.423600166772,0.5
2016-04-22 11:00:00,27.64255245,-157.9998265,20.5643570165,1.48932537945,21.1143684244,0.453940634973,0.5
2016-04-22 12:00:00,27.7868043,-158.0000499,14.2534482305,2.25213720536,21.1143684244,0.453940634973,0.5
2016-04-22 13:00:00,27.93181505,-158.00075095,11.8806951715,0.973870576329,20.9862434274,0.48851655734,0.5
2016-04-22 14:00:00,28.07149685,-158.00049995,13.067948142,0.922569896402,20.9862434274,0.48851655734,0.5
2016-04-22 15:00:00,28.1413446,-157.9996154,15.1355283195,0.776085955461,20.8556184303,0.489412503601,0.5
2016-04-22 16:00:00,28.13043945,-158.0014826,15.042093316,0.593295680135,20.8556184303,0.489412503601,0.5
2016-04-22 17:00:00,28.1174422,-158.0024693,14.6224126035,0.854470178339,20.9862434274,0.48851655734,0.5
2016-04-22 18:00:00,28.1025346,-158.00336325,14.0585846855,0.652452316323,20.9862434274,0.48851655734,0.5
2016-04-22 19:00:00,28.0866536,-158.00481005,13.1332913675,0.79218931331,20.9862434274,0.48851655734,0.5
2016-04-22 20:00:00,28.07204785,-158.00579805,13.002592343,0.591592865479,20.9862434274,0.48851655734,0.5
2016-04-22 21:00:00,28.0581829,-158.0083273,13.234851963,0.686887122099,20.9862434274,0.48851655734,0.5
2016-04-22 22:00:00,28.0442756,-158.01163025,12.4723011395,0.803528276311,20.9862434274,0.48851655734,0.5
2016-04-22 23:00:00,28.03226015,-158.0162634,11.666933624,0.762788271711,20.9862434274,0.48851655734,0.5
2016-04-23 00:00:00,28.05415685,-158.0152045,12.145881818,1.0134150868,20.9493684282,0.378920642055,0.5
2016-04-23 01:00:00,28.1329694,-158.00235495,12.2648186595,0.88618605475,20.8856184296,0.384788387,0.5
2016-04-23 02:00:00,28.13933455,-158.0018964,11.776796134,0.747569892229,20.8856184296,0.384788387,0.5
2016-04-23 03:00:00,28.14063405,-157.9984481,9.954712785,1.21899921018,20.8856184296,0.384788387,0.5
2016-04-23 04:00:00,28.139768,-158.00427375,8.85900064045,0.616694294827,20.8856184296,0.384788387,0.5
2016-04-23 05:00:00,28.1565099,-158.0018665,8.45379978315,0.598873876591,20.8856184296,0.384788387,0.5
2016-04-23 06:00:00,28.2571790526,-157.997769263,9.68434962311,0.97293572794,20.8856184296,0.384788387,0.5
2016-04-23 07:00:00,28.38784915,-157.99591165,9.63331367085,0.532684227187,20.8131184311,0.366822816056,0.5
