time,lat,lon,depth,OH_PseudoCobalamin_Particulate_pM,Me_PseudoCobalamin_Particulate_pM,OH_Cobalamin_Particulate_pM,Me_Cobalamin_Particulate_pM,Ado_Cobalamin_Particulate_pM,dt1,dt2,lat1,lat2,lon1,lon2,depth1,depth2,sst,sst_std,Fe,Fe_std,picoeukaryote_c03_darwin_clim,picoeukaryote_c03_darwin_clim_std
2013-08-22 12:57:54,43.83333333,-149.9996667,0,0.007707433,0.013862047,0.047667366,0.005611546,0.010186849,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,-5,5,18.63110459116667,0.41218777015629643,,,0.287135195,0.00048245499999999275
2013-08-22 12:57:54,43.83333333,-149.9996667,30,0.023841742,0.034634746,0.031599182,0.005905896,0.008616428,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,25,35,18.63110459116667,0.41218777015629643,,,0.1495963525,0.03448335873743285
2013-08-22 12:57:54,43.83333333,-149.9996667,40,0.019648295,0.044688883,0.035196746,0.005099161,0.011577086,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,35,45,18.63110459116667,0.41218777015629643,,,0.08962759125000001,0.0254888897381442
2013-08-22 12:57:54,43.83333333,-149.9996667,60,0.004271224,0.009252201,0.058944258,0.010323678,0.013157068,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,55,65,18.63110459116667,0.41218777015629643,,,0.02272788525,0.008658559783903941
2013-08-22 12:57:54,43.83333333,-149.9996667,70,0.007011743,0.022382168,0.065212283,0.012909678,0.018713524,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,65,75,18.63110459116667,0.41218777015629643,,,0.0140700455,7.395649999999976e-05
2013-08-22 12:57:54,43.83333333,-149.9996667,80,0.004620992,0.023058602,0.093484041,0.017912852,0.022266641,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,75,85,18.63110459116667,0.41218777015629643,,,0.00617033365,3.698635000000004e-05
2013-08-22 12:57:54,43.83333333,-149.9996667,100,0.004560506,0.017943033,0.112399098,0.017749264,0.03273341,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,95,105,18.63110459116667,0.41218777015629643,,,0.0012235767,8.147199999999975e-06
2013-08-22 12:57:54,43.83333333,-149.9996667,125,0.0,0.0,0.059841886,0.005580845,0.022603696,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,120,130,18.63110459116667,0.41218777015629643,,,7.4887195e-05,2.563049999999999e-07
2013-08-22 12:57:54,43.83333333,-149.9996667,150,0.0,0.0,0.049083971,0.005508479,0.023318073,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,145,155,18.63110459116667,0.41218777015629643,,,-8.189133999999999e-06,9.661800000000013e-08
2013-08-22 12:57:54,43.83333333,-149.9996667,300,0.0,0.0,0.041484719,0.006945524,0.021525443,2013-08-21 12:57:54,2013-08-23 12:57:54,43.533333330000005,44.13333333,-150.29966670000002,-149.6996667,295,305,18.63110459116667,0.41218777015629643,,,-7.0864785e-05,4.77974999999996e-07
