time_X,sst,sst_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,,depth
2015-04-26,21.6180559133,1.82069404411,2015-04-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-27,21.5282121653,1.87448957778,2015-04-27,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-28,21.3019684203,1.99564837316,2015-04-28,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-29,21.1179434245,2.06966644188,2015-04-29,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-30,21.1068871747,2.09581192137,2015-04-30,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-01,21.139449674,2.08392734245,2015-05-01,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-02,21.2494746715,2.09718196744,2015-05-02,0.249386855534,0.0484687144181,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-03,21.5009121659,1.90080014934,2015-05-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-04,21.5234059154,1.89559584869,2015-05-04,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-05,21.5220871654,1.84490733605,2015-05-05,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-06,21.5133184156,1.76359582228,2015-05-06,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-07,21.5929746639,1.71289610067,2015-05-07,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-08,21.6911184117,1.68956762401,2015-05-08,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-09,21.5796871641,1.78779478892,2015-05-09,0.251340163774,0.0499181428275,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-10,21.6253309131,1.76807895354,2015-05-10,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-11,21.7253371609,1.67921085605,2015-05-11,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-12,21.7624809101,1.6540272652,2015-05-12,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-05-13,21.7249121609,1.67533316277,2015-05-13,,,23.0,33.0,-160.0,-150.0,,0.494024991989
