track,time,lat,lon,sst,sst_std,chl01_darwin_clim,chl01_darwin_clim_std,margin
233855,2014-05-11,23.5715007782,-149.958984375,24.0574933587,0.14221462334,0.0056753454,3.3866737863600614e-05,0.3
233855,2014-05-12,23.5587997437,-149.978027344,24.234993355,0.162172743949,0.0056753454,3.3866737863600614e-05,0.3
233855,2014-05-13,23.5370998383,-149.986022949,24.0799933583,0.150332960479,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-14,23.5198993683,-149.986022949,23.9374933615,0.226770804477,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-15,23.5128993988,-150.00402832,24.352493352,0.166207697736,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-16,23.5130996704,-150.026000977,24.3899933512,0.121928938075,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-17,23.5086994171,-150.031982422,24.2849933535,0.0960902332888,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-18,23.4941997528,-150.039978027,24.282493354,0.0877021456211,0.006086525275,0.00047576511782460967,0.3
233855,2014-05-19,23.4827003479,-150.054016113,24.2924933535,0.0660176731138,0.00606025635,0.0005782130236594894,0.3
233855,2014-05-20,23.4538002014,-150.067016602,24.1074933577,0.0359397634719,0.00606025635,0.0005782130236594894,0.3
233855,2014-05-21,23.4617996216,-150.085998535,24.2499933543,0.0509901941155,0.00606025635,0.0005782130236594894,0.3
233855,2014-05-22,23.4430007935,-150.093994141,24.2733266872,0.0796659673881,0.0064691147,,0.3
233855,2014-05-23,23.426700592,-150.093017578,24.126660024,0.110754982522,0.0064691147,,0.3
233855,2014-05-24,23.4129009247,-150.094970703,24.0733266916,0.117153742709,0.0064691147,,0.3
233855,2014-05-25,23.401599884,-150.107971191,24.1666600228,0.0944722159993,0.0064691147,,0.3
233855,2014-05-26,23.4206008911,-150.140014648,24.0733266917,0.0339116491034,0.0064691147,,0.3
233855,2014-05-27,23.4589004517,-150.161010742,24.1249933572,0.0887130182438,0.00606025635,0.0005782130236594894,0.3
233855,2014-05-28,23.4584007263,-150.163024902,24.2583266875,0.122051898827,0.00606025635,0.0005782130236594894,0.3
233855,2014-05-29,23.4484996796,-150.184997559,24.5199933485,0.129871728487,0.0064691147,,0.3
233855,2014-05-30,23.4099998474,-150.221984863,24.3266600193,0.137064458588,0.0064691147,,0.3
234027,2014-05-05,27.5781002045,-159.072998047,21.9516600725,0.10186592276,0.004294065,,0.3
234027,2014-05-06,27.5091991425,-159.044006348,22.2974933982,0.0921502379549,0.004120109575,0.00019343401486822585,0.3
234027,2014-05-07,27.473400116,-159.078979492,22.6933267228,0.117246177092,0.00412268435,0.00024236883955832832,0.3
234027,2014-05-08,27.4214000702,-159.106994629,22.75221561,0.149396932484,0.0039513037,,0.3
234027,2014-05-09,27.4129009247,-159.125,22.3955489516,0.0522281308787,0.0039513037,,0.3
234027,2014-05-10,27.4020004272,-159.101013184,22.2222156219,0.0392994195696,0.0039513037,,0.3
234027,2014-05-11,27.3621997833,-159.135986328,22.1833267339,0.0696419397423,0.0039513037,,0.3
234027,2014-05-12,27.3286991119,-159.177001953,22.1783267342,0.0560059507715,0.0039513037,,0.3
234027,2014-05-13,27.3052005768,-159.20098877,22.0949934027,0.0714142825816,0.0039513037,,0.3
234027,2014-05-14,27.2919006348,-159.226013184,22.3449933967,0.0793725376314,0.0039513037,,0.3
234027,2014-05-15,27.2516994476,-159.330993652,22.381660063,0.0646271341887,0.0039513037,,0.3
234027,2014-05-16,27.2415008545,-159.364013672,22.3366600637,0.113607509129,0.0039513037,,0.3
234027,2014-05-17,27.228099823,-159.374023438,22.3349933972,0.0889381790579,0.0039513037,,0.3
234027,2014-05-18,27.2077999115,-159.395019531,22.2949933983,0.0622093227092,0.0039513037,,0.3
234027,2014-05-19,27.1854000092,-159.414001465,22.4333267283,0.0592171133927,0.0039513037,,0.3
234027,2014-05-20,27.1625003815,-159.435974121,22.646660057,0.139522993537,0.0039513037,,0.3
234027,2014-05-21,27.1459007263,-159.447998047,22.3533267303,0.237879516114,0.0039513037,,0.3
234027,2014-05-22,27.130399704,-159.487976074,22.3899933962,0.293052889697,0.00394756465,5.287815219850657e-06,0.3
234027,2014-05-23,27.1033000946,-159.424987793,22.4277711729,0.334506262329,0.0039513037,,0.3
234027,2014-05-24,27.0907001495,-159.429016113,23.2183267107,0.187341039754,0.0039513037,,0.3
234027,2014-05-25,27.0860004425,-159.499023438,23.3683267075,0.0813428937001,0.00394756465,5.287815219850657e-06,0.3
