adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.8436,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8432,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8511,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8569,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8364,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8534,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8789,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9031,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9188,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9175,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8962,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8711,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.852,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8331,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8182,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8097,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8021,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8022,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8122,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8156,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8073,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.803,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8129,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8229,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.822,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8241,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8361,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8492,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.861,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8748,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.884,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8735,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8506,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8401,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.842,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8442,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8404,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8627,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8961,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9246,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9414,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9408,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9215,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8966,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8685,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8337,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8061,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7915,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7856,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7901,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7983,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7994,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7975,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.802,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8114,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8169,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8168,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8201,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8302,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8438,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.862,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8825,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8905,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8728,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8435,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8284,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8287,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8356,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8483,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.876,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9136,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9456,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9664,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9701,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9533,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9263,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8918,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8502,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.817,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7972,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.787,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7887,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7955,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7957,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.791,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7909,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.798,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8095,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8206,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8261,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8286,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8353,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8516,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8711,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8732,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8514,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8276,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.821,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8278,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8421,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8527,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8852,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.926,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.959,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9807,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9862,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9722,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9471,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.914,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8748,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8425,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8198,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8015,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7954,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8019,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8043,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7957,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7883,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7926,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8075,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8219,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.826,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8256,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.829,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8416,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8605,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8655,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8487,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8306,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8312,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.848,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8715,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8521,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8854,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9278,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9592,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9766,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9811,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9742,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9589,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.933,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8981,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8668,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8415,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8153,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
