time,lat,lon,hour,eastward_wind_rms
2017-06-03,16.5,-120.0,0,1.4
2017-06-03,16.5,-119.75,0,1.4
2017-06-03,16.5,-119.5,0,1.3
2017-06-03,16.5,-119.25,0,1.3
2017-06-03,16.5,-119.0,0,1.3
2017-06-03,16.5,-118.75,0,1.3
2017-06-03,16.5,-118.5,0,1.4
2017-06-03,16.5,-118.25,0,1.4
2017-06-03,16.5,-118.0,0,1.4
2017-06-03,16.5,-117.75,0,1.4
2017-06-03,16.5,-117.5,0,1.4
2017-06-03,16.5,-117.25,0,1.4
2017-06-03,16.5,-117.0,0,1.4
2017-06-03,16.5,-116.75,0,1.4
2017-06-03,16.5,-116.5,0,1.4
2017-06-03,16.5,-116.25,0,1.4
2017-06-03,16.5,-116.0,0,1.4
2017-06-03,16.5,-115.75,0,1.4
2017-06-03,16.5,-115.5,0,1.4
2017-06-03,16.5,-115.25,0,1.4
2017-06-03,16.5,-115.0,0,1.4
2017-06-03,16.5,-114.75,0,1.4
2017-06-03,16.5,-114.5,0,1.4
2017-06-03,16.75,-173.75,0,0.0
2017-06-03,16.75,-173.5,0,1.6
2017-06-03,16.75,-173.25,0,1.4
2017-06-03,16.75,-173.0,0,1.4
2017-06-03,16.75,-172.75,0,1.3
2017-06-03,16.75,-172.5,0,1.2
2017-06-03,16.75,-172.25,0,1.1
2017-06-03,16.75,-172.0,0,1.1
2017-06-03,16.75,-171.75,0,1.1
2017-06-03,16.75,-171.5,0,1.1
2017-06-03,16.75,-171.25,0,1.1
2017-06-03,16.75,-171.0,0,1.1
2017-06-03,16.75,-170.75,0,1.1
2017-06-03,16.75,-170.5,0,1.1
2017-06-03,16.75,-170.25,0,1.1
2017-06-03,16.75,-170.0,0,1.1
2017-06-03,16.75,-169.75,0,1.1
2017-06-03,16.75,-169.5,0,1.1
2017-06-03,16.75,-169.25,0,1.1
2017-06-03,16.75,-169.0,0,1.1
2017-06-03,16.75,-168.75,0,1.1
2017-06-03,16.75,-168.5,0,1.1
2017-06-03,16.75,-168.25,0,1.1
2017-06-03,16.75,-168.0,0,1.1
2017-06-03,16.75,-167.75,0,1.1
2017-06-03,16.75,-167.5,0,1.1
2017-06-03,16.75,-167.25,0,1.1
2017-06-03,16.75,-167.0,0,1.1
2017-06-03,16.75,-166.75,0,1.1
2017-06-03,16.75,-166.5,0,1.1
2017-06-03,16.75,-166.25,0,1.1
2017-06-03,16.75,-166.0,0,1.1
2017-06-03,16.75,-165.75,0,1.1
2017-06-03,16.75,-165.5,0,1.1
2017-06-03,16.75,-165.25,0,1.1
2017-06-03,16.75,-165.0,0,1.1
2017-06-03,16.75,-164.75,0,1.1
2017-06-03,16.75,-164.5,0,1.1
2017-06-03,16.75,-164.25,0,1.1
2017-06-03,16.75,-164.0,0,1.1
2017-06-03,16.75,-163.75,0,1.1
2017-06-03,16.75,-163.5,0,1.1
2017-06-03,16.75,-163.25,0,1.1
2017-06-03,16.75,-163.0,0,1.1
2017-06-03,16.75,-162.75,0,1.1
2017-06-03,16.75,-162.5,0,1.1
2017-06-03,16.75,-162.25,0,1.1
2017-06-03,16.75,-162.0,0,1.2
2017-06-03,16.75,-161.75,0,1.2
2017-06-03,16.75,-161.5,0,1.2
2017-06-03,16.75,-161.25,0,1.2
2017-06-03,16.75,-161.0,0,1.2
2017-06-03,16.75,-160.75,0,1.2
2017-06-03,16.75,-160.5,0,1.2
2017-06-03,16.75,-160.25,0,1.1
2017-06-03,16.75,-160.0,0,1.1
2017-06-03,16.75,-159.75,0,1.1
2017-06-03,16.75,-159.5,0,1.1
2017-06-03,16.75,-159.25,0,1.1
2017-06-03,16.75,-159.0,0,1.0
2017-06-03,16.75,-158.75,0,1.0
2017-06-03,16.75,-158.5,0,1.0
2017-06-03,16.75,-158.25,0,1.0
2017-06-03,16.75,-158.0,0,1.0
2017-06-03,16.75,-157.75,0,1.0
2017-06-03,16.75,-157.5,0,1.0
2017-06-03,16.75,-157.25,0,1.0
2017-06-03,16.75,-157.0,0,1.0
2017-06-03,16.75,-156.75,0,1.1
2017-06-03,16.75,-156.5,0,1.1
2017-06-03,16.75,-156.25,0,1.1
2017-06-03,16.75,-156.0,0,1.1
2017-06-03,16.75,-155.75,0,1.1
2017-06-03,16.75,-155.5,0,1.1
2017-06-03,16.75,-155.25,0,1.1
2017-06-03,16.75,-155.0,0,1.1
2017-06-03,16.75,-154.75,0,1.1
2017-06-03,16.75,-154.5,0,1.1
2017-06-03,16.75,-154.25,0,1.1
2017-06-03,16.75,-154.0,0,1.1
2017-06-03,16.75,-153.75,0,1.1
2017-06-03,16.75,-153.5,0,1.1
2017-06-03,16.75,-153.25,0,1.1
2017-06-03,16.75,-153.0,0,1.2
2017-06-03,16.75,-152.75,0,1.3
2017-06-03,16.75,-152.5,0,1.3
2017-06-03,16.75,-152.25,0,1.3
2017-06-03,16.75,-152.0,0,1.1
2017-06-03,16.75,-151.75,0,1.1
2017-06-03,16.75,-151.5,0,1.1
2017-06-03,16.75,-151.25,0,1.1
2017-06-03,16.75,-151.0,0,1.1
2017-06-03,16.75,-150.75,0,1.1
2017-06-03,16.75,-150.5,0,1.1
2017-06-03,16.75,-150.25,0,1.1
2017-06-03,16.75,-150.0,0,1.1
2017-06-03,16.75,-149.75,0,1.2
2017-06-03,16.75,-149.5,0,1.2
2017-06-03,16.75,-149.25,0,1.2
2017-06-03,16.75,-149.0,0,1.2
2017-06-03,16.75,-148.75,0,1.2
2017-06-03,16.75,-148.5,0,1.4
2017-06-03,16.75,-148.25,0,1.4
2017-06-03,16.75,-148.0,0,1.2
2017-06-03,16.75,-147.75,0,1.2
2017-06-03,16.75,-147.5,0,1.2
2017-06-03,16.75,-147.25,0,1.2
2017-06-03,16.75,-147.0,0,1.1
2017-06-03,16.75,-146.75,0,1.1
2017-06-03,16.75,-146.5,0,1.1
2017-06-03,16.75,-146.25,0,1.0
2017-06-03,16.75,-146.0,0,1.0
2017-06-03,16.75,-145.75,0,1.0
2017-06-03,16.75,-145.5,0,1.0
2017-06-03,16.75,-145.25,0,1.0
2017-06-03,16.75,-145.0,0,1.0
2017-06-03,16.75,-144.75,0,1.0
2017-06-03,16.75,-144.5,0,1.0
2017-06-03,16.75,-144.25,0,1.0
2017-06-03,16.75,-144.0,0,1.0
2017-06-03,16.75,-143.75,0,1.0
2017-06-03,16.75,-143.5,0,1.0
2017-06-03,16.75,-143.25,0,1.0
2017-06-03,16.75,-143.0,0,1.1
2017-06-03,16.75,-142.75,0,1.2
2017-06-03,16.75,-142.5,0,1.2
2017-06-03,16.75,-142.25,0,1.2
2017-06-03,16.75,-142.0,0,1.2
2017-06-03,16.75,-141.75,0,1.2
2017-06-03,16.75,-141.5,0,1.2
2017-06-03,16.75,-141.25,0,1.2
2017-06-03,16.75,-141.0,0,1.2
2017-06-03,16.75,-140.75,0,1.2
2017-06-03,16.75,-140.5,0,1.2
2017-06-03,16.75,-140.25,0,1.2
2017-06-03,16.75,-140.0,0,1.2
2017-06-03,16.75,-139.75,0,1.2
2017-06-03,16.75,-139.5,0,1.2
2017-06-03,16.75,-139.25,0,1.2
2017-06-03,16.75,-139.0,0,1.1
2017-06-03,16.75,-138.75,0,1.1
2017-06-03,16.75,-138.5,0,1.1
2017-06-03,16.75,-138.25,0,1.1
2017-06-03,16.75,-138.0,0,1.2
2017-06-03,16.75,-137.75,0,1.2
2017-06-03,16.75,-137.5,0,1.2
2017-06-03,16.75,-137.25,0,1.2
2017-06-03,16.75,-137.0,0,1.2
2017-06-03,16.75,-136.75,0,1.2
2017-06-03,16.75,-136.5,0,1.4
2017-06-03,16.75,-136.25,0,1.4
2017-06-03,16.75,-136.0,0,1.4
2017-06-03,16.75,-135.75,0,1.4
2017-06-03,16.75,-135.5,0,1.4
2017-06-03,16.75,-135.25,0,1.4
2017-06-03,16.75,-135.0,0,1.4
2017-06-03,16.75,-134.75,0,1.4
2017-06-03,16.75,-134.5,0,1.4
2017-06-03,16.75,-134.25,0,1.4
2017-06-03,16.75,-134.0,0,1.4
2017-06-03,16.75,-133.75,0,1.4
2017-06-03,16.75,-133.5,0,1.4
2017-06-03,16.75,-133.25,0,1.4
2017-06-03,16.75,-133.0,0,1.4
2017-06-03,16.75,-132.75,0,1.4
2017-06-03,16.75,-132.5,0,1.4
2017-06-03,16.75,-132.25,0,1.4
2017-06-03,16.75,-132.0,0,1.4
2017-06-03,16.75,-131.75,0,1.4
2017-06-03,16.75,-131.5,0,1.2
2017-06-03,16.75,-131.25,0,1.2
2017-06-03,16.75,-131.0,0,1.1
2017-06-03,16.75,-130.75,0,1.1
2017-06-03,16.75,-130.5,0,1.1
2017-06-03,16.75,-130.25,0,1.1
2017-06-03,16.75,-130.0,0,1.1
2017-06-03,16.75,-129.75,0,1.1
2017-06-03,16.75,-129.5,0,1.2
2017-06-03,16.75,-129.25,0,1.1
2017-06-03,16.75,-129.0,0,1.1
2017-06-03,16.75,-128.75,0,1.1
2017-06-03,16.75,-128.5,0,1.1
2017-06-03,16.75,-128.25,0,1.1
2017-06-03,16.75,-128.0,0,1.1
2017-06-03,16.75,-127.75,0,1.1
2017-06-03,16.75,-127.5,0,1.1
2017-06-03,16.75,-127.25,0,1.1
2017-06-03,16.75,-127.0,0,1.1
2017-06-03,16.75,-126.75,0,1.2
2017-06-03,16.75,-126.5,0,1.2
2017-06-03,16.75,-126.25,0,1.3
2017-06-03,16.75,-126.0,0,1.3
2017-06-03,16.75,-125.75,0,1.3
2017-06-03,16.75,-125.5,0,1.3
2017-06-03,16.75,-125.25,0,1.3
2017-06-03,16.75,-125.0,0,1.3
2017-06-03,16.75,-124.75,0,1.4
2017-06-03,16.75,-124.5,0,1.3
2017-06-03,16.75,-124.25,0,1.4
2017-06-03,16.75,-124.0,0,1.3
2017-06-03,16.75,-123.75,0,1.3
2017-06-03,16.75,-123.5,0,1.4
2017-06-03,16.75,-123.25,0,1.4
2017-06-03,16.75,-123.0,0,1.4
2017-06-03,16.75,-122.75,0,1.4
2017-06-03,16.75,-122.5,0,1.4
