time,lat,lon,adt
2016-02-04,22.625,-148.125,1.1188
2016-02-04,22.625,-147.875,1.1301
2016-02-04,22.625,-147.625,1.1502
2016-02-04,22.625,-147.375,1.1681
2016-02-04,22.625,-147.125,1.1734
2016-02-04,22.625,-146.875,1.1695
2016-02-04,22.625,-146.625,1.1624
2016-02-04,22.625,-146.375,1.1521
2016-02-04,22.625,-146.125,1.1384
2016-02-04,22.625,-145.875,1.1214
2016-02-04,22.625,-145.625,1.112
2016-02-04,22.625,-145.375,1.1247
2016-02-04,22.625,-145.125,1.1454
2016-02-04,22.625,-144.875,1.1407
2016-02-04,22.625,-144.625,1.1028
2016-02-04,22.625,-144.375,1.0527
2016-02-04,22.625,-144.125,1.0193
2016-02-04,22.625,-143.875,1.0187
2016-02-04,22.625,-143.625,1.0434
2016-02-04,22.875,-161.125,1.0484
2016-02-04,22.875,-160.875,1.0805
2016-02-04,22.875,-160.625,1.1137
2016-02-04,22.875,-160.375,1.1326
2016-02-04,22.875,-160.125,1.1417
2016-02-04,22.875,-159.875,1.1466
2016-02-04,22.875,-159.625,1.1383
2016-02-04,22.875,-159.375,1.1158
2016-02-04,22.875,-159.125,1.0977
2016-02-04,22.875,-158.875,1.0918
2016-02-04,22.875,-158.625,1.0861
2016-02-04,22.875,-158.375,1.0854
2016-02-04,22.875,-158.125,1.1033
2016-02-04,22.875,-157.875,1.1205
2016-02-04,22.875,-157.625,1.1095
2016-02-04,22.875,-157.375,1.0806
2016-02-04,22.875,-157.125,1.0651
2016-02-04,22.875,-156.875,1.0661
2016-02-04,22.875,-156.625,1.0552
2016-02-04,22.875,-156.375,1.0251
2016-02-04,22.875,-156.125,1.0016
2016-02-04,22.875,-155.875,0.991
2016-02-04,22.875,-155.625,0.9724
2016-02-04,22.875,-155.375,0.9491
2016-02-04,22.875,-155.125,0.9572
2016-02-04,22.875,-154.875,1.0014
2016-02-04,22.875,-154.625,1.0329
2016-02-04,22.875,-154.375,1.0223
2016-02-04,22.875,-154.125,1.0017
2016-02-04,22.875,-153.875,1.0088
2016-02-04,22.875,-153.625,1.0319
2016-02-04,22.875,-153.375,1.0478
2016-02-04,22.875,-153.125,1.0731
2016-02-04,22.875,-152.875,1.1209
2016-02-04,22.875,-152.625,1.152
2016-02-04,22.875,-152.375,1.1351
2016-02-04,22.875,-152.125,1.098
2016-02-04,22.875,-151.875,1.0709
2016-02-04,22.875,-151.625,1.0449
2016-02-04,22.875,-151.375,1.0148
2016-02-04,22.875,-151.125,0.995
2016-02-04,22.875,-150.875,0.9882
2016-02-04,22.875,-150.625,0.9823
2016-02-04,22.875,-150.375,0.9712
2016-02-04,22.875,-150.125,0.96
2016-02-04,22.875,-149.875,0.9544
2016-02-04,22.875,-149.625,0.9574
2016-02-04,22.875,-149.375,0.9781
2016-02-04,22.875,-149.125,1.025
2016-02-04,22.875,-148.875,1.0831
2016-02-04,22.875,-148.625,1.1257
2016-02-04,22.875,-148.375,1.1473
2016-02-04,22.875,-148.125,1.1547
2016-02-04,22.875,-147.875,1.1531
2016-02-04,22.875,-147.625,1.1551
2016-02-04,22.875,-147.375,1.1628
2016-02-04,22.875,-147.125,1.1644
2016-02-04,22.875,-146.875,1.1624
2016-02-04,22.875,-146.625,1.1609
2016-02-04,22.875,-146.375,1.151
2016-02-04,22.875,-146.125,1.1289
2016-02-04,22.875,-145.875,1.1029
2016-02-04,22.875,-145.625,1.0911
2016-02-04,22.875,-145.375,1.1063
2016-02-04,22.875,-145.125,1.1324
2016-02-04,22.875,-144.875,1.1351
2016-02-04,22.875,-144.625,1.1041
2016-02-04,22.875,-144.375,1.0607
2016-02-04,22.875,-144.125,1.0326
2016-02-04,22.875,-143.875,1.0286
2016-02-04,22.875,-143.625,1.0372
2016-02-04,23.125,-161.125,1.0442
2016-02-04,23.125,-160.875,1.0769
2016-02-04,23.125,-160.625,1.1207
2016-02-04,23.125,-160.375,1.1525
2016-02-04,23.125,-160.125,1.1642
2016-02-04,23.125,-159.875,1.1625
2016-02-04,23.125,-159.625,1.1451
2016-02-04,23.125,-159.375,1.1115
2016-02-04,23.125,-159.125,1.0795
2016-02-04,23.125,-158.875,1.0595
2016-02-04,23.125,-158.625,1.0427
2016-02-04,23.125,-158.375,1.038
2016-02-04,23.125,-158.125,1.0617
2016-02-04,23.125,-157.875,1.0913
2016-02-04,23.125,-157.625,1.0918
2016-02-04,23.125,-157.375,1.0673
2016-02-04,23.125,-157.125,1.0494
2016-02-04,23.125,-156.875,1.0482
2016-02-04,23.125,-156.625,1.0396
2016-02-04,23.125,-156.375,1.015
2016-02-04,23.125,-156.125,0.9938
2016-02-04,23.125,-155.875,0.9791
2016-02-04,23.125,-155.625,0.9596
2016-02-04,23.125,-155.375,0.9404
2016-02-04,23.125,-155.125,0.9442
2016-02-04,23.125,-154.875,0.9713
2016-02-04,23.125,-154.625,0.9861
2016-02-04,23.125,-154.375,0.9705
2016-02-04,23.125,-154.125,0.9536
2016-02-04,23.125,-153.875,0.9666
2016-02-04,23.125,-153.625,0.9967
2016-02-04,23.125,-153.375,1.019
2016-02-04,23.125,-153.125,1.044
2016-02-04,23.125,-152.875,1.0876
2016-02-04,23.125,-152.625,1.1235
2016-02-04,23.125,-152.375,1.1268
2016-02-04,23.125,-152.125,1.1159
2016-02-04,23.125,-151.875,1.1045
2016-02-04,23.125,-151.625,1.0776
2016-02-04,23.125,-151.375,1.0358
2016-02-04,23.125,-151.125,1.0043
2016-02-04,23.125,-150.875,0.9925
2016-02-04,23.125,-150.625,0.9878
2016-02-04,23.125,-150.375,0.9807
2016-02-04,23.125,-150.125,0.9719
2016-02-04,23.125,-149.875,0.9649
2016-02-04,23.125,-149.625,0.9648
2016-02-04,23.125,-149.375,0.9849
2016-02-04,23.125,-149.125,1.0343
2016-02-04,23.125,-148.875,1.0948
2016-02-04,23.125,-148.625,1.1422
2016-02-04,23.125,-148.375,1.1718
2016-02-04,23.125,-148.125,1.1824
2016-02-04,23.125,-147.875,1.1757
2016-02-04,23.125,-147.625,1.1697
2016-02-04,23.125,-147.375,1.172
2016-02-04,23.125,-147.125,1.1718
2016-02-04,23.125,-146.875,1.1675
2016-02-04,23.125,-146.625,1.1601
2016-02-04,23.125,-146.375,1.1413
2016-02-04,23.125,-146.125,1.1071
2016-02-04,23.125,-145.875,1.069
2016-02-04,23.125,-145.625,1.0496
2016-02-04,23.125,-145.375,1.0623
2016-02-04,23.125,-145.125,1.0904
2016-02-04,23.125,-144.875,1.1046
2016-02-04,23.125,-144.625,1.0971
2016-02-04,23.125,-144.375,1.082
2016-02-04,23.125,-144.125,1.0725
2016-02-04,23.125,-143.875,1.0656
