time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-04-02,,,2015-04-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-03,,,2015-04-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-04,0.153716728772,0.451991171373,2015-04-04,0.245758539695,0.0450044393286,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-05,,,2015-04-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-06,,,2015-04-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-07,,,2015-04-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-08,,,2015-04-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-09,,,2015-04-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-10,,,2015-04-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-11,0.121772857882,0.385632561922,2015-04-11,0.245533355003,0.0448841417838,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-12,,,2015-04-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-13,,,2015-04-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-14,,,2015-04-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-15,,,2015-04-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-16,,,2015-04-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-17,,,2015-04-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-18,0.0966683069091,0.340124264639,2015-04-18,0.247105469982,0.0459510723118,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-19,,,2015-04-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-20,,,2015-04-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-21,,,2015-04-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-22,,,2015-04-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
