time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2012-11-18,,,-36.98,51.65,-173.85,-23.95,
2012-11-19,,,-36.98,51.65,-173.85,-23.95,
2012-11-20,,,-36.98,51.65,-173.85,-23.95,
2012-11-21,,,-36.98,51.65,-173.85,-23.95,
2012-11-22,,,-36.98,51.65,-173.85,-23.95,
2012-11-23,,,-36.98,51.65,-173.85,-23.95,
2012-11-24,357.899888537,2.22289464811,-36.98,51.65,-173.85,-23.95,
2012-11-25,355.681571675,3.15408587012,-36.98,51.65,-173.85,-23.95,
2012-11-26,357.8314949,4.93941874445,-36.98,51.65,-173.85,-23.95,
2012-11-27,360.615666005,6.44158280875,-36.98,51.65,-173.85,-23.95,
2012-11-28,354.517055716,7.60147650174,-36.98,51.65,-173.85,-23.95,
2012-11-29,360.776706522,3.24340158288,-36.98,51.65,-173.85,-23.95,
2012-11-30,365.574912402,2.43682866953,-36.98,51.65,-173.85,-23.95,
2012-12-01,370.227384791,4.04240557965,-36.98,51.65,-173.85,-23.95,
2012-12-02,381.532200941,6.60515516922,-36.98,51.65,-173.85,-23.95,
2012-12-03,394.035276415,2.16796603244,-36.98,51.65,-173.85,-23.95,
2012-12-04,371.221908166,6.74004498193,-36.98,51.65,-173.85,-23.95,
2012-12-05,371.251715061,0.780490479974,-36.98,51.65,-173.85,-23.95,
2012-12-06,,,-36.98,51.65,-173.85,-23.95,
2012-12-07,,,-36.98,51.65,-173.85,-23.95,
2012-12-08,374.41533775,19.5766983562,-36.98,51.65,-173.85,-23.95,
2012-12-09,380.6538903,4.52472398881,-36.98,51.65,-173.85,-23.95,
2012-12-10,373.734592838,2.32637043482,-36.98,51.65,-173.85,-23.95,
2012-12-11,366.230572751,3.18106880271,-36.98,51.65,-173.85,-23.95,
2012-12-12,355.42744642,6.26873117177,-36.98,51.65,-173.85,-23.95,
2012-12-13,353.034650634,4.46377064782,-36.98,51.65,-173.85,-23.95,
2012-12-14,346.36357384,2.00636862386,-36.98,51.65,-173.85,-23.95,
2012-12-15,,,-36.98,51.65,-173.85,-23.95,
2012-12-16,,,-36.98,51.65,-173.85,-23.95,
2012-12-17,,,-36.98,51.65,-173.85,-23.95,
2012-12-18,,,-36.98,51.65,-173.85,-23.95,
2012-12-19,,,-36.98,51.65,-173.85,-23.95,
2012-12-20,,,-36.98,51.65,-173.85,-23.95,
2012-12-21,,,-36.98,51.65,-173.85,-23.95,
2012-12-22,348.651948225,1.97953824468,-36.98,51.65,-173.85,-23.95,
2012-12-23,346.534467848,1.64843362235,-36.98,51.65,-173.85,-23.95,
2012-12-24,350.47721872,4.60462854194,-36.98,51.65,-173.85,-23.95,
2012-12-25,348.246745596,3.66063219987,-36.98,51.65,-173.85,-23.95,
2012-12-26,342.113809769,1.86514098251,-36.98,51.65,-173.85,-23.95,
2012-12-27,,,-36.98,51.65,-173.85,-23.95,
2012-12-28,,,-36.98,51.65,-173.85,-23.95,
2012-12-29,,,-36.98,51.65,-173.85,-23.95,
2012-12-30,,,-36.98,51.65,-173.85,-23.95,
2012-12-31,,,-36.98,51.65,-173.85,-23.95,
2013-01-01,386.89901574,12.2276433546,-36.98,51.65,-173.85,-23.95,
2013-01-02,377.91012028,3.2668788018,-36.98,51.65,-173.85,-23.95,
2013-01-03,373.858994193,5.23245076812,-36.98,51.65,-173.85,-23.95,
2013-01-04,364.263100026,2.97485323244,-36.98,51.65,-173.85,-23.95,
2013-01-05,364.271661477,9.22259264932,-36.98,51.65,-173.85,-23.95,
2013-01-06,367.88938992,5.80012769549,-36.98,51.65,-173.85,-23.95,
2013-01-07,,,-36.98,51.65,-173.85,-23.95,
2013-01-08,346.134991716,2.69629519277,-36.98,51.65,-173.85,-23.95,
2013-01-09,346.587738277,2.94498567839,-36.98,51.65,-173.85,-23.95,
2013-01-10,362.667441797,30.056730798,-36.98,51.65,-173.85,-23.95,
2013-01-11,363.427593998,4.07979166085,-36.98,51.65,-173.85,-23.95,
