time,lat,lon,Fe
2017-01-07,23.5,-136.5,2.40914087044e-05
2017-01-07,23.5,-136.0,2.52929730777e-05
2017-01-07,23.5,-135.5,2.44732382271e-05
2017-01-07,23.5,-135.0,2.06497115869e-05
2017-01-07,23.5,-134.5,2.04398384085e-05
2017-01-07,23.5,-134.0,1.98782108782e-05
2017-01-07,23.5,-133.5,1.98153102247e-05
2017-01-07,23.5,-133.0,1.96213059098e-05
2017-01-07,23.5,-132.5,1.96449927898e-05
2017-01-07,23.5,-132.0,1.99067235371e-05
2017-01-07,23.5,-131.5,1.99380356207e-05
2017-01-07,23.5,-131.0,1.81938885362e-05
2017-01-07,23.5,-130.5,1.61807874974e-05
2017-01-07,23.5,-130.0,1.6248330212e-05
2017-01-07,23.5,-129.5,1.78144364327e-05
2017-01-07,23.5,-129.0,1.96038381546e-05
2017-01-07,23.5,-128.5,1.82584408321e-05
2017-01-07,23.5,-128.0,1.84473155969e-05
2017-01-07,23.5,-127.5,1.74711567524e-05
2017-01-07,24.0,-177.0,4.63538890472e-05
2017-01-07,24.0,-176.5,4.78459405713e-05
2017-01-07,24.0,-176.0,4.36210102635e-05
2017-01-07,24.0,-175.5,4.61555246147e-05
2017-01-07,24.0,-175.0,4.55638437415e-05
2017-01-07,24.0,-174.5,4.11439832533e-05
2017-01-07,24.0,-174.0,3.44513136952e-05
2017-01-07,24.0,-173.5,3.53349460056e-05
2017-01-07,24.0,-173.0,3.3368687582e-05
2017-01-07,24.0,-172.5,2.38175525737e-05
2017-01-07,24.0,-172.0,3.19975770253e-05
2017-01-07,24.0,-171.5,3.13722121064e-05
2017-01-07,24.0,-171.0,3.8998281525e-05
2017-01-07,24.0,-170.5,3.83549486287e-05
2017-01-07,24.0,-170.0,3.38065074175e-05
2017-01-07,24.0,-169.5,3.33409807354e-05
2017-01-07,24.0,-169.0,3.53219766112e-05
2017-01-07,24.0,-168.5,3.19930441037e-05
2017-01-07,24.0,-168.0,3.22948944813e-05
2017-01-07,24.0,-167.5,4.06598628615e-05
2017-01-07,24.0,-167.0,4.34630746895e-05
2017-01-07,24.0,-166.5,5.43666064914e-05
2017-01-07,24.0,-166.0,4.74777007184e-05
2017-01-07,24.0,-165.5,3.53752475348e-05
2017-01-07,24.0,-165.0,6.69139772072e-05
2017-01-07,24.0,-164.5,4.75845663459e-05
2017-01-07,24.0,-164.0,4.04672573495e-05
2017-01-07,24.0,-163.5,3.8924987166e-05
2017-01-07,24.0,-163.0,3.97596741095e-05
2017-01-07,24.0,-162.5,3.94047237933e-05
2017-01-07,24.0,-162.0,3.78754848498e-05
2017-01-07,24.0,-161.5,3.88125008612e-05
2017-01-07,24.0,-161.0,4.09333479183e-05
2017-01-07,24.0,-160.5,3.98406882596e-05
2017-01-07,24.0,-160.0,4.29243773397e-05
2017-01-07,24.0,-159.5,4.9421651056e-05
2017-01-07,24.0,-159.0,4.30685831816e-05
2017-01-07,24.0,-158.5,5.18832930538e-05
2017-01-07,24.0,-158.0,4.96814136568e-05
2017-01-07,24.0,-157.5,4.96800821566e-05
2017-01-07,24.0,-157.0,5.21205292898e-05
2017-01-07,24.0,-156.5,4.75872002426e-05
2017-01-07,24.0,-156.0,4.40872645413e-05
2017-01-07,24.0,-155.5,4.24859863415e-05
2017-01-07,24.0,-155.0,4.27732265962e-05
2017-01-07,24.0,-154.5,4.4164742576e-05
2017-01-07,24.0,-154.0,4.16599177697e-05
2017-01-07,24.0,-153.5,3.79124321626e-05
2017-01-07,24.0,-153.0,4.19720818172e-05
2017-01-07,24.0,-152.5,4.01805482397e-05
2017-01-07,24.0,-152.0,4.08304913435e-05
2017-01-07,24.0,-151.5,4.16870170739e-05
2017-01-07,24.0,-151.0,3.68927176169e-05
2017-01-07,24.0,-150.5,2.83143854176e-05
