time,lat,lon,sst
2016-02-04,23.125,-146.125,23.699993367
2016-02-04,23.125,-145.875,23.609993369
2016-02-04,23.125,-145.625,23.509993371
2016-02-04,23.125,-145.375,23.439993373
2016-02-04,23.125,-145.125,23.439993373
2016-02-04,23.125,-144.875,23.449993372
2016-02-04,23.125,-144.625,23.309993375
2016-02-04,23.125,-144.375,23.179993378
2016-02-04,23.125,-144.125,23.069993381
2016-02-04,23.125,-143.875,23.019993382
2016-02-04,23.125,-143.625,22.999993382
2016-02-04,23.375,-161.125,24.169993356
2016-02-04,23.375,-160.875,24.309993353
2016-02-04,23.375,-160.625,24.399993351
2016-02-04,23.375,-160.375,24.42999335
2016-02-04,23.375,-160.125,24.409993351
2016-02-04,23.375,-159.875,24.329993353
2016-02-04,23.375,-159.625,24.209993355
2016-02-04,23.375,-159.375,24.169993356
2016-02-04,23.375,-159.125,24.189993356
2016-02-04,23.375,-158.875,24.149993357
2016-02-04,23.375,-158.625,24.00999336
2016-02-04,23.375,-158.375,23.839993364
2016-02-04,23.375,-158.125,23.759993365
2016-02-04,23.375,-157.875,23.859993363
2016-02-04,23.375,-157.625,24.049993359
2016-02-04,23.375,-157.375,24.139993357
2016-02-04,23.375,-157.125,24.159993356
2016-02-04,23.375,-156.875,24.079993358
2016-02-04,23.375,-156.625,23.899993362
2016-02-04,23.375,-156.375,23.659993368
2016-02-04,23.375,-156.125,23.529993371
2016-02-04,23.375,-155.875,23.53999337
2016-02-04,23.375,-155.625,23.629993368
2016-02-04,23.375,-155.375,23.699993367
2016-02-04,23.375,-155.125,23.659993368
2016-02-04,23.375,-154.875,23.54999337
2016-02-04,23.375,-154.625,23.449993372
2016-02-04,23.375,-154.375,23.439993373
2016-02-04,23.375,-154.125,23.499993371
2016-02-04,23.375,-153.875,23.619993369
2016-02-04,23.375,-153.625,23.749993366
2016-02-04,23.375,-153.375,23.839993364
2016-02-04,23.375,-153.125,23.929993362
2016-02-04,23.375,-152.875,24.00999336
2016-02-04,23.375,-152.625,24.049993359
2016-02-04,23.375,-152.375,24.059993359
2016-02-04,23.375,-152.125,24.039993359
2016-02-04,23.375,-151.875,23.99999336
2016-02-04,23.375,-151.625,23.949993361
2016-02-04,23.375,-151.375,23.789993365
2016-02-04,23.375,-151.125,23.53999337
2016-02-04,23.375,-150.875,23.339993375
2016-02-04,23.375,-150.625,23.249993377
2016-02-04,23.375,-150.375,23.259993377
2016-02-04,23.375,-150.125,23.349993375
2016-02-04,23.375,-149.875,23.419993373
2016-02-04,23.375,-149.625,23.479993372
2016-02-04,23.375,-149.375,23.56999337
2016-02-04,23.375,-149.125,23.699993367
2016-02-04,23.375,-148.875,23.819993364
2016-02-04,23.375,-148.625,23.889993363
2016-02-04,23.375,-148.375,23.899993362
2016-02-04,23.375,-148.125,23.839993364
2016-02-04,23.375,-147.875,23.769993365
2016-02-04,23.375,-147.625,23.689993367
2016-02-04,23.375,-147.375,23.639993368
2016-02-04,23.375,-147.125,23.619993369
2016-02-04,23.375,-146.875,23.619993369
2016-02-04,23.375,-146.625,23.649993368
2016-02-04,23.375,-146.375,23.639993368
2016-02-04,23.375,-146.125,23.55999337
2016-02-04,23.375,-145.875,23.469993372
2016-02-04,23.375,-145.625,23.369993374
2016-02-04,23.375,-145.375,23.359993374
2016-02-04,23.375,-145.125,23.389993374
2016-02-04,23.375,-144.875,23.429993373
