time_X,sst,sst_std_X,time_Y,Si,Si_std_Y,lat1,lat2,lon1,lon2,,depth
2015-03-21,6.33075000499,1.27921090142,2015-03-21,19.6244585444,3.06703444007,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-22,6.27601250621,1.26985830022,2015-03-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-23,6.1917875081,1.22672192525,2015-03-23,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-24,6.2230125074,1.23604262962,2015-03-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-25,6.49110625139,1.28892188976,2015-03-25,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-26,6.52779375059,1.38588175608,2015-03-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-27,6.51701875082,1.39173453503,2015-03-27,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-28,6.50384375111,1.33124128181,2015-03-28,19.6985876685,3.02383290391,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-29,6.56704999971,1.31351342521,2015-03-29,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-30,6.52832500055,1.29176961807,2015-03-30,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-31,6.46000000209,1.25382870489,2015-03-31,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-01,6.44291875247,1.1712548428,2015-04-01,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-02,6.45947500211,1.23538241297,2015-04-02,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-03,6.46942500187,1.27742208004,2015-04-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-04,6.35364375447,1.30687941671,2015-04-04,19.8641755305,3.0897039629,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-05,6.18690000821,1.36085119721,2015-04-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-04-06,6.35836250436,1.32931740022,2015-04-06,,,43.0,53.0,-160.0,-150.0,,0.494024991989
