time,lat,lon,sst,margin
2017-04-30,19.625,-159.375,26.069993314,0.2
2017-04-30,19.625,-159.125,26.189993311,0.2
2017-04-30,19.625,-157.875,26.279993309,0.2
2017-04-30,19.625,-157.625,26.099993313,0.2
2017-04-30,19.625,-146.875,24.979993338,0.2
2017-04-30,19.625,-146.625,25.029993337,0.2
2017-04-30,19.625,-146.125,25.169993334,0.2
2017-04-30,19.625,-145.875,25.149993334,0.2
2017-04-30,19.625,-143.375,24.619993346,0.2
2017-04-30,19.625,-143.125,24.619993346,0.2
2017-04-30,19.875,-162.625,25.76999332,0.2
2017-04-30,19.875,-162.375,25.829993319,0.2
2017-04-30,19.875,-162.125,25.929993317,0.2
2017-04-30,19.875,-161.625,26.039993314,0.2
2017-04-30,19.875,-161.375,26.039993314,0.2
2017-04-30,19.875,-161.125,26.059993314,0.2
2017-04-30,19.875,-160.625,25.949993316,0.2
2017-04-30,19.875,-160.375,25.869993318,0.2
2017-04-30,19.875,-160.125,25.819993319,0.2
2017-04-30,19.875,-159.875,25.869993318,0.2
2017-04-30,19.875,-159.625,25.929993317,0.2
2017-04-30,19.875,-159.375,26.029993315,0.2
2017-04-30,19.875,-159.125,26.179993311,0.2
2017-04-30,19.875,-157.875,26.25999331,0.2
2017-04-30,19.875,-157.625,26.099993313,0.2
2017-04-30,19.875,-157.375,25.879993318,0.2
2017-04-30,19.875,-156.625,25.639993323,0.2
2017-04-30,19.875,-156.375,25.549993325,0.2
2017-04-30,19.875,-147.125,24.979993338,0.2
2017-04-30,19.875,-146.875,24.979993338,0.2
2017-04-30,19.875,-143.375,24.489993349,0.2
2017-04-30,19.875,-143.125,24.489993349,0.2
2017-04-30,19.875,-142.875,24.499993349,0.2
2017-04-30,20.125,-162.625,25.689993322,0.2
2017-04-30,20.125,-162.375,25.78999332,0.2
2017-04-30,20.125,-161.875,25.939993317,0.2
2017-04-30,20.125,-161.625,25.989993316,0.2
2017-04-30,20.125,-161.375,26.029993315,0.2
2017-04-30,20.125,-160.625,25.819993319,0.2
2017-04-30,20.125,-160.375,25.739993321,0.2
2017-04-30,20.125,-160.125,25.689993322,0.2
2017-04-30,20.125,-159.875,25.699993322,0.2
2017-04-30,20.125,-159.625,25.79999332,0.2
2017-04-30,20.125,-159.375,25.939993317,0.2
2017-04-30,20.125,-159.125,26.109993313,0.2
2017-04-30,20.125,-158.875,26.269993309,0.2
2017-04-30,20.125,-157.875,26.319993308,0.2
2017-04-30,20.125,-157.625,26.179993311,0.2
2017-04-30,20.125,-157.375,26.009993315,0.2
2017-04-30,20.125,-156.625,25.689993322,0.2
2017-04-30,20.125,-156.375,25.539993326,0.2
2017-04-30,20.125,-155.875,25.299993331,0.2
2017-04-30,20.125,-147.125,25.009993337,0.2
2017-04-30,20.125,-146.875,24.989993338,0.2
2017-04-30,20.125,-143.125,24.289993354,0.2
2017-04-30,20.125,-142.875,24.349993352,0.2
2017-04-30,20.125,-142.625,24.379993352,0.2
2017-04-30,20.125,-142.375,24.379993352,0.2
2017-04-30,20.375,-162.125,25.849993319,0.2
2017-04-30,20.375,-161.875,25.909993317,0.2
2017-04-30,20.375,-161.625,25.949993316,0.2
2017-04-30,20.375,-160.875,25.859993318,0.2
2017-04-30,20.375,-160.625,25.739993321,0.2
2017-04-30,20.375,-160.375,25.629993324,0.2
2017-04-30,20.375,-160.125,25.589993325,0.2
2017-04-30,20.375,-159.125,26.039993314,0.2
2017-04-30,20.375,-158.875,26.22999331,0.2
2017-04-30,20.375,-158.625,26.349993308,0.2
2017-04-30,20.375,-158.375,26.459993305,0.2
2017-04-30,20.375,-158.125,26.439993306,0.2
2017-04-30,20.375,-157.875,26.319993308,0.2
2017-04-30,20.375,-157.625,26.209993311,0.2
2017-04-30,20.375,-157.375,26.129993312,0.2
2017-04-30,20.375,-157.125,26.059993314,0.2
2017-04-30,20.375,-156.875,25.879993318,0.2
2017-04-30,20.375,-156.625,25.699993322,0.2
2017-04-30,20.375,-156.375,25.469993327,0.2
2017-04-30,20.375,-155.875,25.199993333,0.2
2017-04-30,20.375,-154.875,25.489993327,0.2
2017-04-30,20.375,-142.875,24.209993355,0.2
2017-04-30,20.375,-142.625,24.299993353,0.2
2017-04-30,20.375,-142.375,24.329993353,0.2
2017-04-30,20.625,-162.375,25.79999332,0.2
2017-04-30,20.625,-162.125,25.829993319,0.2
2017-04-30,20.625,-161.875,25.869993318,0.2
2017-04-30,20.625,-160.875,25.709993322,0.2
2017-04-30,20.625,-160.625,25.639993323,0.2
2017-04-30,20.625,-160.375,25.579993325,0.2
2017-04-30,20.625,-159.375,25.739993321,0.2
2017-04-30,20.625,-159.125,25.939993317,0.2
2017-04-30,20.625,-158.875,26.139993312,0.2
2017-04-30,20.625,-158.625,26.279993309,0.2
2017-04-30,20.625,-158.375,26.379993307,0.2
2017-04-30,20.625,-158.125,26.409993306,0.2
2017-04-30,20.625,-157.875,26.299993309,0.2
2017-04-30,20.625,-157.625,26.24999331,0.2
2017-04-30,20.625,-157.375,26.199993311,0.2
2017-04-30,20.625,-157.125,26.119993313,0.2
2017-04-30,20.625,-156.875,25.899993318,0.2
2017-04-30,20.625,-156.625,25.649993323,0.2
2017-04-30,20.625,-155.125,25.379993329,0.2
2017-04-30,20.625,-154.875,25.429993328,0.2
2017-04-30,20.625,-142.875,24.159993356,0.2
2017-04-30,20.875,-162.625,25.76999332,0.2
2017-04-30,20.875,-162.375,25.739993321,0.2
2017-04-30,20.875,-162.125,25.739993321,0.2
2017-04-30,20.875,-160.875,25.579993325,0.2
2017-04-30,20.875,-160.625,25.569993325,0.2
2017-04-30,20.875,-160.375,25.599993324,0.2
2017-04-30,20.875,-159.375,25.739993321,0.2
2017-04-30,20.875,-159.125,25.859993318,0.2
2017-04-30,20.875,-158.875,25.989993316,0.2
2017-04-30,20.875,-158.625,26.119993313,0.2
2017-04-30,20.875,-158.375,26.22999331,0.2
2017-04-30,20.875,-158.125,26.24999331,0.2
2017-04-30,20.875,-157.875,26.149993312,0.2
2017-04-30,20.875,-155.125,25.319993331,0.2
2017-04-30,20.875,-154.875,25.369993329,0.2
2017-04-30,20.875,-153.875,25.489993327,0.2
2017-04-30,20.875,-153.625,25.499993327,0.2
2017-04-30,20.875,-151.875,25.489993327,0.2
2017-04-30,20.875,-151.625,25.519993326,0.2
2017-04-30,20.875,-142.875,24.099993358,0.2
2017-04-30,20.875,-142.625,24.239993355,0.2
2017-04-30,20.875,-142.375,24.359993352,0.2
2017-04-30,21.125,-162.625,25.76999332,0.2
2017-04-30,21.125,-162.375,25.699993322,0.2
2017-04-30,21.125,-161.125,25.569993325,0.2
2017-04-30,21.125,-160.875,25.599993324,0.2
2017-04-30,21.125,-160.625,25.619993324,0.2
2017-04-30,21.125,-160.375,25.709993322,0.2
2017-04-30,21.125,-159.125,25.79999332,0.2
2017-04-30,21.125,-158.875,25.859993318,0.2
2017-04-30,21.125,-158.375,25.999993315,0.2
2017-04-30,21.125,-158.125,25.979993316,0.2
2017-04-30,21.125,-155.375,25.199993333,0.2
2017-04-30,21.125,-155.125,25.279993331,0.2
2017-04-30,21.125,-154.875,25.32999333,0.2
2017-04-30,21.125,-153.875,25.389993329,0.2
2017-04-30,21.125,-153.625,25.429993328,0.2
2017-04-30,21.125,-153.375,25.489993327,0.2
2017-04-30,21.125,-153.125,25.529993326,0.2
2017-04-30,21.125,-151.875,25.499993327,0.2
2017-04-30,21.125,-151.625,25.519993326,0.2
2017-04-30,21.125,-142.875,23.97999336,0.2
2017-04-30,21.125,-142.625,24.119993357,0.2
